Date,Sales CAD,Waste CAD,Complaints,Shift Notes,Sales YoY Baseline CAD
2026-04-21,3210,195,0,Steady,
2026-04-22,3420,215,0,Mall traffic moderate,
2026-04-23,3580,228,0,Thursday normal,
2026-04-24,3890,258,0,Friday mall busy,
2026-04-25,4120,278,0,Saturday full dinner,
2026-04-26,3780,245,0,Sunday family lunch crowd,
2026-04-27,2890,178,0,Monday slow,
2026-04-28,3180,202,0,Steady,
2026-04-29,3340,215,0,Thursday rush 6-8pm,
2026-04-30,3510,228,0,Mall event nearby +traffic,
2026-05-01,3820,250,0,Friday rush,
2026-05-02,4050,268,0,Saturday full,
2026-05-03,3690,240,0,Sunday brunch,
2026-05-04,2650,980,2,"Walk-in cooler died ~4pm. Lost 3 prep batches (mussels scallops shrimp). Dinner service significantly impaired — turned away 12 reservations after 6pm walk-ins waved off. 2 customers complained about shellfish allergen disclosure when oyster substitution was offered. Cooler being repaired tonight prep relocated to reach-in for Tuesday service.",3500
